Child,Parent,Parent_Qa,ChildQ
6801080,2131222,3515,0
6802063,2131222,3515,0
6799071,2132260,15673,0
6800236,2132260,15673,0
6801081,2132260,15673,0
6802064,2132260,15673,0
6799073,2132524,1185,0
6800237,2132524,1185,0
6801073,2132524,1185,0
6799074,2132606,21000,0
6800235,2132606,21000,0
6801082,2132606,21000,0
6802065,2132606,21000,0
6799340,2134208,1730,0
6801149,2134208,1730,0
6800092,2134538,950,0
6801263,2135300,256,0
6799144,2135361,300,0
6800285,2135361,300,0
6801246,2135416,480,0
6802027,2135416,480,0
6800125,2135547,1104,0
6801248,2135547,1104,0
6802028,2135547,1104,0
6802277,2135915,76,0
6799011,2137597,2240,0
6800012,2137597,2240,0
6802043,2137597,2240,0
6802704,2137597,2240,0
6799057,2137828,1120,0
6800088,2137828,1120,0
6800968,2137828,1120,0
6802271,2137828,1120,0
6802890,2137828,1120,0
6798983,2137930,535.5,0
6800084,2137930,535.5,0
6801122,2137930,535.5,0
6802032,2137930,535.5,0
6802826,2137930,535.5,0
6799003,2137984,625,0
6800021,2137984,625,0
6798945,2138024,2160,0
6800104,2138024,2160,0
6801240,2138024,2160,0
6801940,2138024,2160,0
6802807,2138024,2160,0
6802195,2138042,600,0
6798992,2138073,465,0
6800055,2138073,465,0
6800953,2138073,465,0
6801933,2138073,465,0
6802699,2138073,465,0
6800085,2138118,650,0
6801124,2138118,650,0
6802061,2138118,650,0
6802821,2138118,650,0
6799010,2138253,800,0
6800002,2138253,800,0
6800970,2138253,800,0
6802050,2138253,800,0
6802703,2138253,800,0
6798993,2138270,1083.3,0
6800050,2138270,1083.3,0
6800954,2138270,1083.3,0
6801934,2138270,1083.3,0
6802695,2138270,1083.3,0
6799059,2138303,2514.5,0
6800065,2138303,2514.5,0
6801101,2138303,2514.5,0
6802013,2138303,2514.5,0
6802881,2138303,2514.5,0
6800232,2138306,627.75,0
6798994,2138335,1083.3,0
6800049,2138335,1083.3,0
6800957,2138335,1083.3,0
6801935,2138335,1083.3,0
6802696,2138335,1083.3,0
6800053,2138337,1083.3,0
6801925,2138337,1083.3,0
6802697,2138337,1083.3,0
6800015,2138404,700,0
6802189,2138404,700,0
6798951,2138458,1600,0
6800066,2138458,1600,0
6802059,2138458,1600,0
6802804,2138458,1600,0
6802882,2138469,2152,0
6801261,2138508,70,0
6798953,2138563,1505,0
6800105,2138563,1505,0
6801941,2138563,1505,0
6802806,2138563,1505,0
6799013,2138586,1725,0
6800114,2138586,1725,0
6801228,2138586,1725,0
6801922,2138586,1725,0
6800246,2138639,1120,0
6801086,2138639,1120,0
6801964,2138639,1120,0
6802849,2138639,1120,0
6801968,2138641,252,0
6800163,2138762,1617,0
6798965,2138768,438,0
6799036,2138785,2800,0
6800019,2138785,2800,0
6801222,2138785,2800,0
6802197,2138785,2800,0
6799001,2138955,3118,0
6800022,2138955,3118,0
6801249,2138955,3118,0
6802185,2138955,3118,0
6800048,2139008,401.7,0
6798947,2139109,402,0
6800998,2139109,402,0
6798941,2139158,800,0
6800103,2139158,800,0
6800999,2139158,800,0
6801970,2139158,800,0
6799045,2139186,422,0
6802846,2139208,402,0
6800247,2139209,1921,0
6801087,2139209,1921,0
6801966,2139209,1921,0
6802847,2139209,1921,0
6801965,2139210,882,0
6802848,2139210,882,0
6799009,2139257,1282,0
6800013,2139257,1282,0
6800118,2139257,1282,0
6800971,2139257,1282,0
6802062,2139257,1282,0
6802706,2139257,1282,0
6799978,2139259,640,0
6800966,2139259,640,0
6801936,2139259,640,0
6802707,2139259,640,0
6802902,2139262,6192,0
6799004,2139269,2400,0
6800023,2139269,2400,0
6801223,2139269,2400,0
6799970,2139330,1516,0
6799016,2139343,3320,0
6799980,2139343,3320,0
6800964,2139343,3320,0
6802012,2139343,3320,0
6802705,2139343,3320,0
6799029,2139344,936,0
6801921,2139344,936,0
6802819,2139344,936,0
6802099,2139355,634,0
6799047,2139359,3744,0
6800083,2139359,3744,0
6801974,2139359,3744,0
6802739,2139359,3744,0
6798975,2139362,1939,0
6800147,2139362,1939,0
6801011,2139362,1939,0
6798954,2139368,700,0
6800106,2139368,700,0
6801235,2139368,700,0
6801939,2139368,700,0
6802816,2139368,700,0
6799046,2139406,9516.8,0
6800244,2139406,9516.8,0
6801104,2139406,9516.8,0
6801980,2139406,9516.8,0
6799038,2139416,1207,0
6800020,2139416,1207,0
6801262,2139416,1207,0
6802183,2139416,1207,0
6798989,2139426,460,0
6800042,2139426,460,0
6800068,2139429,1816,0
6798990,2139439,1720.5,0
6800041,2139439,1720.5,0
6802907,2139478,560,0
6801286,2139478,560,0
6799015,2139483,1900,0
6799977,2139483,1900,0
6800965,2139483,1900,0
6801937,2139483,1900,0
6802708,2139483,1900,0
6801247,2139525,2248,0
6802029,2139525,2248,0
6798980,2139563,499,0
6800081,2139563,499,0
6801123,2139563,499,0
6802034,2139563,499,0
6802825,2139563,499,0
6798982,2139564,355,0
6800080,2139564,355,0
6801121,2139564,355,0
6802031,2139564,355,0
6802824,2139564,355,0
6798981,2139565,150,0
6800082,2139565,150,0
6801120,2139565,150,0
6802014,2139565,150,0
6802827,2139565,150,0
6799058,2139568,582.5,0
6799971,2139568,582.5,0
6800969,2139568,582.5,0
6802042,2139568,582.5,0
6802803,2139568,582.5,0
6798999,2139603,1100,0
6800242,2139603,1100,0
6798972,2139620,1562.5,0
6800069,2139620,1562.5,0
6800945,2139620,1562.5,0
6802888,2139620,1562.5,0
6799039,2139626,3437,0
6800025,2139626,3437,0
6801230,2139626,3437,0
6802187,2139626,3437,0
6798988,2139692,867,0
6800045,2139692,867,0
6799000,2139706,2392,0
6801266,2139706,2392,0
6802188,2139706,2392,0
6798974,2139727,356,0
6799014,2139728,110,0
6800117,2139728,110,0
6801245,2139728,110,0
6802023,2139728,110,0
6798950,2139770,2154,0
6800071,2139770,2154,0
6800951,2139770,2154,0
6802056,2139770,2154,0
6802850,2139770,2154,0
6798984,2140585,2324,0
6800077,2140585,2324,0
6801118,2140585,2324,0
6802035,2140585,2324,0
6802828,2140585,2324,0
6799005,2140694,209,0
6800093,2140694,209,0
6802083,2140694,209,0
6802917,2140694,209,0
6799031,2140737,1320,0
6801221,2140737,1320,0
6801924,2140737,1320,0
6802817,2140737,1320,0
6802818,2140737,1320,0
6798986,2140739,1600,0
6800043,2140739,1600,0
6799032,2140747,1077,0
6801155,2140747,1077,0
6801920,2140747,1077,0
6802823,2140747,1077,0
6802192,2140787,456,0
6799040,2140788,912,0
6800018,2140788,912,0
6801229,2140788,912,0
6802184,2140788,912,0
6798978,2140809,1640,0
6800109,2140809,1640,0
6801009,2140809,1640,0
6799033,2140825,2693,0
6800102,2140825,2693,0
6800973,2140825,2693,0
6801973,2140825,2693,0
6802883,2140825,2693,0
6799012,2140843,714,0
6800115,2140843,714,0
6801244,2140843,714,0
6802016,2140843,714,0
6799051,2140872,2200,0
6800112,2140872,2200,0
6801100,2140872,2200,0
6801971,2140872,2200,0
6802853,2140872,2200,0
6801409,2140895,2217,0
6802005,2140895,2217,0
6802903,2140895,2217,0
6801267,2140923,1617,0
6799048,2140940,1668,0
6800089,2140940,1668,0
6801099,2140940,1668,0
6801963,2140940,1668,0
6802900,2140940,1668,0
6798967,2140978,800,0
6800070,2140978,800,0
6801408,2141144,598.8,0
6802006,2141144,598.8,0
6802908,2141144,598.8,0
6798998,2141150,1254,0
6800243,2141150,1254,0
6801147,2141150,1254,0
6801960,2141150,1254,0
6802844,2141150,1254,0
6799028,2141167,600,0
6799035,2141175,1920,0
6800046,2141175,1920,0
6801250,2141175,1920,0
6802851,2141184,1317,0
6802186,2141207,1200,0
6800245,2141265,120,0
6801085,2141265,120,0
6801967,2141265,120,0
6802845,2141265,120,0
6800067,2141272,675,0
6800952,2141272,675,0
6802055,2141272,675,0
6802854,2141272,675,0
6799956,2141444,285.6,0
6798987,2141469,384,0
6800044,2141469,384,0
6800238,2141158,100,0
