WR_Doc_ID,Parent,Parent_Qa,AnnualVolumeQuantity_filled
2083130,NULL,,6
2083131,NULL,,320
2083132,NULL,,16
2083134,NULL,,50
2083135,NULL,,62
2083136,NULL,,380
2083137,2083137,162,126
2083140,2083140,242,52.2
2083143,NULL,,38
2083147,NULL,,202
2083151,NULL,,102
2083153,NULL,,138
2083154,NULL,,36
2083156,NULL,,28
2083157,NULL,,242
2083158,NULL,,80
2083161,NULL,,24
2083162,NULL,,18
2083164,NULL,,58
2083168,NULL,,26
2083171,NULL,,150
2083172,NULL,,180
2083173,NULL,,18
2083176,NULL,,133
2083178,NULL,,51
2083182,NULL,,832
2083183,NULL,,64
2083188,NULL,,26
2083193,NULL,,62
2083194,NULL,,50
2083195,NULL,,232
2083198,NULL,,54
2083202,NULL,,12
2083204,NULL,,77
2083205,NULL,,40
2083208,NULL,,57
2083209,NULL,,540
2083212,NULL,,12.2
2083213,NULL,,110
2083214,NULL,,20
2083215,NULL,,181
2083216,NULL,,70
2083217,NULL,,371
2083218,NULL,,80
2083219,NULL,,26
2083220,NULL,,202
2083221,NULL,,33
2083223,NULL,,50
2083224,NULL,,640
2083225,NULL,,43
2083226,NULL,,60
2083230,NULL,,12.5
2083231,NULL,,27
2083233,NULL,,17
2083235,NULL,,15
2083236,NULL,,150
2083238,NULL,,25
2083239,NULL,,185
2083241,NULL,,57
2083242,NULL,,127
2083243,NULL,,6
2083249,NULL,,95
2083251,NULL,,102
2083252,NULL,,54
2083256,NULL,,74
2083257,NULL,,50
2083258,NULL,,12
2083261,NULL,,37
2083262,NULL,,420
2083264,NULL,,85.6
2083267,NULL,,24
2083269,NULL,,52
2083270,NULL,,21.5
2083273,NULL,,83
2083276,NULL,,92.4
2083280,NULL,,80
2083283,NULL,,53
2083284,NULL,,32
2083287,NULL,,102
2083293,NULL,,28
2083294,NULL,,200
2083298,NULL,,66
2083300,NULL,,122
2083301,NULL,,20
2083302,NULL,,316.8
2083303,NULL,,82
2083304,NULL,,20
2083311,NULL,,22
2083312,NULL,,60
2083313,NULL,,100
2083315,NULL,,7.2
2083316,NULL,,9.6
2083317,NULL,,6.8
2083318,NULL,,5.6
2083319,NULL,,6.4
2083320,NULL,,7.2
2083321,NULL,,7.2
2083322,NULL,,7.2
2083324,NULL,,18
2083325,NULL,,85
2083327,NULL,,76
2083328,NULL,,300
2083330,NULL,,34
2083331,NULL,,96
2083334,NULL,,128
2083336,NULL,,18
2083337,NULL,,62
2083343,NULL,,30
2083345,NULL,,72
2083347,NULL,,22
2083349,NULL,,708
2083350,NULL,,20
2083352,NULL,,120
2083357,NULL,,5
2083358,NULL,,152
2083360,NULL,,34
2083362,NULL,,465
2083363,NULL,,4
2083366,NULL,,22
2083368,NULL,,320
2083369,NULL,,24
2083371,NULL,,98
2083376,NULL,,32
2083377,NULL,,82
2083380,NULL,,562
2083386,NULL,,34.8
2083388,NULL,,1920
2083389,NULL,,8
2083390,NULL,,440
2083392,NULL,,205
2083393,NULL,,18
2083394,NULL,,38
2083395,NULL,,42
2083396,NULL,,72
2083401,NULL,,2
2083404,NULL,,68
2083405,NULL,,46
2083406,NULL,,36
2083411,NULL,,5
2083417,NULL,,80
2083420,NULL,,360
2083421,NULL,,288
2083422,NULL,,48
2083423,NULL,,13.6
2083425,NULL,,200
2083426,NULL,,100
2083427,NULL,,240
2083429,NULL,,80
2083431,NULL,,69.6
2083434,NULL,,240
2083435,NULL,,125.6
2083437,NULL,,40
2083438,NULL,,21.6
2083440,NULL,,69.6
2083442,NULL,,148
2083444,NULL,,37.6
2083445,NULL,,525.6
2083446,NULL,,20
2083447,NULL,,245.6
2083452,NULL,,200
2083455,NULL,,8.3
2083456,NULL,,176
2083457,NULL,,84
2083458,NULL,,240
2083459,NULL,,60
2083460,NULL,,12
2083461,NULL,,500
2083462,NULL,,200
2083464,NULL,,60
2083465,2083465,,160
2083468,NULL,,120
2083471,NULL,,48
2083476,NULL,,304
2083477,NULL,,21.6
2083478,NULL,,11.6
2083479,NULL,,67
2083481,6048130,800,88
2083482,6048130,800,48
2083483,NULL,,320
2083484,NULL,,93.6
2083487,NULL,,120
2083488,NULL,,109.6
2083489,NULL,,200
2083493,NULL,,20
2083496,NULL,,68
2083497,NULL,,160
2083503,NULL,,205.6
2083505,NULL,,25.6
2083506,NULL,,30
2083509,NULL,,18
2083510,NULL,,167
2083512,NULL,,152
2083513,NULL,,112
2083516,NULL,,58
2083518,NULL,,34.4
2083521,NULL,,17.6
2083522,NULL,,43.6
2083523,NULL,,162.6
2083527,NULL,,9.6
2083528,NULL,,480
2083529,NULL,,52
2083531,NULL,,45.6
2083534,NULL,,112
2083535,NULL,,32
2083536,NULL,,11.6
2083537,NULL,,32
2083540,NULL,,41.6
2083544,NULL,,36
2083548,NULL,,100
2083552,NULL,,45.6
2083553,NULL,,16
2083559,NULL,,243
2083560,NULL,,300
2083561,NULL,,480
2083562,NULL,,223
2083563,NULL,,572
2083564,NULL,,160
2083565,NULL,,53.6
2083566,NULL,,320
2083567,NULL,,116
2083569,NULL,,396
2083574,NULL,,320
2083577,NULL,,36
2083589,NULL,,188
2083596,NULL,,120
2083600,NULL,,240
2083602,NULL,,26
2083603,NULL,,34
2083606,NULL,,12
2083607,NULL,,320
2083613,NULL,,20
2083617,NULL,,9.6
2083619,NULL,,53.6
2083621,NULL,,37.6
2083622,NULL,,14
2083625,NULL,,115.56
2083626,NULL,,20
2083628,NULL,,140
2083629,NULL,,42
2083630,NULL,,280
2083631,NULL,,240
2083632,NULL,,76
2083634,NULL,,9
2083635,NULL,,20
2083637,NULL,,13.6
2083638,NULL,,17.2
2083640,NULL,,25.6
2083642,NULL,,45.6
2083643,NULL,,9.6
2083644,NULL,,288
2083645,NULL,,19.2
2083648,NULL,,46.5
2083649,NULL,,32
2083650,NULL,,160
2083656,NULL,,80
2083657,NULL,,40
2083658,NULL,,36
2083659,NULL,,80
2083660,NULL,,80
2083663,NULL,,12
2083664,NULL,,13
2083666,NULL,,40
2083668,NULL,,21.6
2083671,NULL,,37.6
2083673,NULL,,65
2083674,NULL,,14
2083675,NULL,,28
2083676,NULL,,280
2083678,NULL,,69.6
2083679,NULL,,240
2083680,NULL,,24
2083681,NULL,,69.6
2083684,NULL,,100
2083686,NULL,,97
2083687,NULL,,80
2083688,NULL,,80
2083690,NULL,,148
2083691,NULL,,21.6
2083696,NULL,,53.6
2083698,NULL,,16
2083700,NULL,,240
2083701,NULL,,200
2083702,NULL,,80
2083703,NULL,,280
2083707,NULL,,120
2083709,NULL,,80
2083711,NULL,,16
2083715,NULL,,21.6
2083719,NULL,,14.5
2083721,NULL,,200
2083722,NULL,,165.6
2083723,NULL,,25.6
2083727,NULL,,24
2083729,NULL,,405.6
2083730,NULL,,17
2083731,NULL,,80
2083733,NULL,,53.6
2083734,NULL,,300
2083735,NULL,,28
2083736,NULL,,320
2083737,NULL,,100
2083740,NULL,,87.2
2083741,NULL,,105.6
2083742,NULL,,24
2083745,NULL,,120
2083746,NULL,,120
2083747,NULL,,80
2083749,NULL,,480
2083750,NULL,,184
2083751,NULL,,4
2083756,NULL,,92
2083758,NULL,,216
2083759,NULL,,620
2083760,NULL,,300
2083761,NULL,,40
2083764,NULL,,53.6
2083765,NULL,,81.6
2083767,NULL,,17.6
2083769,NULL,,20
2083772,NULL,,288
2083773,NULL,,28
2083774,NULL,,500
2083775,NULL,,60
2083778,NULL,,48
2083779,NULL,,60
2083784,NULL,,200
2083786,NULL,,152
2083787,NULL,,60
2083788,NULL,,76
2083790,NULL,,128
2083793,NULL,,38
2083794,2083794,324,216
2083795,NULL,,240
2083796,NULL,,8
2083797,NULL,,320
2083798,NULL,,160
2083799,NULL,,85.6
2083800,NULL,,88
2083801,NULL,,280
2083803,NULL,,17.6
2083809,NULL,,320
2083811,NULL,,160
2083814,NULL,,320
2083816,NULL,,180
2083818,NULL,,80
2083820,NULL,,13.6
2083821,NULL,,64
2083824,NULL,,276
2083826,NULL,,45.6
2083827,NULL,,24
2083828,NULL,,9.6
2083829,NULL,,9.6
2083830,NULL,,13.6
2083833,NULL,,16
2083834,NULL,,95.6
2083836,NULL,,220
2083837,NULL,,336
2083838,NULL,,80
2083839,NULL,,40
2083840,NULL,,100
2083842,4182552,240,240
2083848,NULL,,240
2083850,NULL,,18
2083857,NULL,,28
2083858,NULL,,160
2083859,NULL,,40
2083860,NULL,,125.6
2083864,NULL,,140
2083872,NULL,,18
2083873,NULL,,40
2083877,NULL,,160
2083879,NULL,,29
2083882,NULL,,16
2083884,NULL,,48
2083885,NULL,,12
2083886,NULL,,12
2083889,NULL,,12
2083893,NULL,,280
2083903,NULL,,12
2083904,NULL,,105
2083907,NULL,,80
2083908,NULL,,120
2083911,NULL,,300
2083912,NULL,,80
2083915,NULL,,140
2083917,NULL,,69
2083918,NULL,,272
2083924,NULL,,60
2083928,NULL,,136.5
2083929,NULL,,48
2083933,NULL,,128
2083936,NULL,,120
2083937,NULL,,31.5
2083941,NULL,,136
2083944,NULL,,120
2083945,NULL,,42
2083948,NULL,,260
2083949,NULL,,30
2083950,NULL,,150
2083951,NULL,,150
2083954,NULL,,12
2083955,NULL,,10.5
2083959,NULL,,60
2083960,2083960,80,66
2083961,NULL,,126
2083963,NULL,,22
2083967,NULL,,160
2083971,NULL,,6
2083974,NULL,,336
2083975,NULL,,120
2083981,NULL,,200
2083983,NULL,,60
2083985,NULL,,70
2083987,NULL,,60
2083988,NULL,,80
2083989,NULL,,208
2083996,NULL,,28
2083999,NULL,,15.6
2084004,NULL,,184
2084005,NULL,,80
2084006,NULL,,36
2084008,NULL,,17.5
2084013,NULL,,7.6
2084014,NULL,,53.76
2084017,NULL,,80
2084019,NULL,,80
2084021,NULL,,80
2084024,NULL,,33
2084025,NULL,,13.65
2084027,NULL,,40
2084031,NULL,,200
2084032,NULL,,160
2084035,NULL,,75
2084038,NULL,,152
2084039,NULL,,60
2084041,NULL,,400
2084044,NULL,,60
2084045,NULL,,28
2084046,NULL,,30
2084047,NULL,,60
2084048,NULL,,60
2084049,NULL,,30
2084050,NULL,,20
2084051,NULL,,80
2084052,NULL,,200
2084058,NULL,,300
2084059,NULL,,375
2084063,NULL,,1190
2084065,NULL,,80
2084067,NULL,,50
2084068,NULL,,37.5
2084069,NULL,,179
2084071,NULL,,356
2084072,NULL,,284
2084076,NULL,,40
2084077,NULL,,10
2084079,NULL,,12
2084080,NULL,,16
2084085,NULL,,3
2084086,NULL,,44
2084088,NULL,,20
2084089,NULL,,9
2084091,NULL,,32
2084094,NULL,,90
2084098,NULL,,38
2084101,NULL,,18
2084106,NULL,,32
2084107,NULL,,1100
2084108,NULL,,24
2084109,NULL,,20
2084110,NULL,,37.5
2084113,NULL,,100
2084118,NULL,,800
2084120,NULL,,1760
2084121,NULL,,320
2084122,NULL,,320
2084124,NULL,,160
2084125,NULL,,20
2084127,NULL,,6.5
2084128,NULL,,85
2084129,NULL,,84
2084130,NULL,,20
2084131,NULL,,16
2084132,NULL,,24
2084133,NULL,,320
2084135,NULL,,28
2084136,NULL,,100
2084139,NULL,,160
2084141,NULL,,180
2084142,NULL,,10
2084143,NULL,,200
2084145,NULL,,1120
2084147,NULL,,18
2084148,NULL,,56
2084150,NULL,,32
2084151,NULL,,80
2084152,NULL,,99
2084155,NULL,,6
2084158,NULL,,168
2084160,NULL,,160
2084163,NULL,,10
2084165,NULL,,12
2084169,NULL,,36
2084170,NULL,,78
2084171,NULL,,120
2084174,NULL,,13.5
2084176,NULL,,108
2084180,NULL,,60
2084181,NULL,,148
2084183,NULL,,80
2084184,NULL,,120
2084190,NULL,,30
2084192,NULL,,60
2084193,NULL,,40
2084194,NULL,,100
2084196,NULL,,96
2084198,NULL,,40
2084201,NULL,,475
2084206,NULL,,28
2084208,NULL,,60
2084209,NULL,,26.6
2084215,NULL,,18
2084216,NULL,,44
2084230,NULL,,160
2084231,NULL,,408
2084235,NULL,,20
2084239,NULL,,20
2084240,NULL,,10.8
2084241,NULL,,21
2084242,2084242,84,52
2084245,NULL,,300
2084247,NULL,,90
2084249,NULL,,120
2084251,NULL,,120
2084252,NULL,,44
2084255,NULL,,90
2084256,NULL,,40
2084257,NULL,,15
2084258,NULL,,80
2084260,NULL,,10
2084262,NULL,,32
2084263,NULL,,348
2084265,NULL,,270
2084266,NULL,,157.5
2084267,NULL,,12
2084273,NULL,,20
2084276,NULL,,60
2084277,NULL,,48
2084282,NULL,,12.5
2084283,NULL,,12.5
2084293,NULL,,96
2084294,NULL,,32
2084296,NULL,,160
2084297,NULL,,24
2084300,NULL,,20
2084301,NULL,,6
2084302,NULL,,320
2084303,NULL,,152
2084305,NULL,,52
2084306,NULL,,3
2084308,NULL,,40
2084314,NULL,,24
2084325,NULL,,6
2084326,NULL,,6
2084328,NULL,,4
2084334,NULL,,160
2084337,NULL,,20
2084339,NULL,,120
2084340,NULL,,40
2084343,NULL,,32
2084344,NULL,,20
2084345,NULL,,292
2084346,NULL,,40
2084347,NULL,,40
2084349,NULL,,302
2084353,NULL,,240
2084354,NULL,,240
2084356,NULL,,80
2084363,NULL,,280
2084369,NULL,,48
2084373,NULL,,445.5
2084375,NULL,,153
2084377,NULL,,20
2084378,NULL,,15
2084379,NULL,,120
2084381,NULL,,10
2084382,NULL,,430
2084383,NULL,,296
2084384,NULL,,10
2084387,NULL,,300
2084388,NULL,,5
2084389,NULL,,35
2084391,NULL,,38
2084392,NULL,,60
2084396,NULL,,240
2084400,NULL,,90
2084401,NULL,,150
2084408,NULL,,4
2084410,NULL,,120
2084411,NULL,,180
2084414,NULL,,240
2084415,NULL,,55.9
2084416,NULL,,172
2084417,NULL,,40
2084418,NULL,,350
2084419,NULL,,40
2084420,NULL,,32
2084421,NULL,,232
2084422,NULL,,232
2084426,NULL,,160
2084427,NULL,,5.3
2084428,NULL,,100
2084429,NULL,,80
2084431,NULL,,132
2084433,NULL,,9
2084435,NULL,,360
2084436,NULL,,300
2084437,NULL,,16
2084438,NULL,,400
2084441,NULL,,160
2084443,NULL,,320
2084445,NULL,,22.5
2084446,NULL,,40
2084447,NULL,,40
2084448,NULL,,80
2084450,NULL,,60
2084458,NULL,,30
2084459,NULL,,80
2084460,NULL,,31
2084461,NULL,,20
2084464,NULL,,60
2084466,NULL,,52
2084468,NULL,,44.5
2084469,NULL,,121.5
2084471,NULL,,5
2084472,NULL,,20
2084476,NULL,,72
2084477,NULL,,80
2084478,NULL,,80
2084479,NULL,,80
2084481,NULL,,56
2084489,NULL,,35
2084490,NULL,,25
2084491,NULL,,39.6
2084492,NULL,,10
2084493,NULL,,40
2084498,NULL,,28
2084509,2077553,NA,50
2084512,2077580,NA,90
2084518,2084062,80,80
2084520,2083782,10,10
2084521,2083845,960,960
2084522,2083844,34,34
2084527,2084064,893,893
2084536,2050792,64,1
2084541,4239396,220,167
2084560,NULL,,110.4
2084561,NULL,,290
2084562,NULL,,190
2084566,NULL,,63
2084570,NULL,,80
2084571,NULL,,4
2084572,NULL,,360
2084573,NULL,,280
2084574,NULL,,490
2084575,NULL,,320
2084576,NULL,,336
2084577,NULL,,336
2084578,NULL,,20
2084584,2084584,40,30
2084586,NULL,,328
2084587,NULL,,24
2084589,NULL,,180
2084590,NULL,,300
2084595,NULL,,30
2084597,NULL,,50
2084598,NULL,,180
2084599,NULL,,80
2084600,NULL,,40
2084602,NULL,,25.33
2084611,NULL,,20
2084616,NULL,,45
2084617,NULL,,18
2084618,NULL,,36
2084619,NULL,,130
2084620,NULL,,320
2084622,NULL,,80
2084623,NULL,,24
2084624,NULL,,18
2084626,NULL,,240
2084627,NULL,,429.33
2084628,NULL,,13.5
2084629,NULL,,55
2084634,NULL,,80
2084639,NULL,,438
2084641,NULL,,350
2084642,NULL,,550
2084643,NULL,,20
2084644,NULL,,100
2084655,2077928,80.25,60
2084656,2080039,5465.62,27.27
2084666,NULL,,67
2084675,NULL,,2143
2084676,NULL,,160
2084679,NULL,,396.5
2084684,NULL,,4044
2084687,NULL,,565
2084695,NULL,,128.5
2084696,NULL,,4069
2084708,NULL,,36
2084709,NULL,,730
2084710,NULL,,126.5
2084711,NULL,,612
2084712,NULL,,704
2084717,NULL,,40
2084718,NULL,,263
2084721,NULL,,770
2084722,NULL,,57.5
2084725,NULL,,48.8
2084728,NULL,,192
2084730,NULL,,184.3
2084732,NULL,,65.6
2084734,NULL,,103
2084735,NULL,,751
2084752,NULL,,150
2084769,NULL,,136.1
2084773,Unknown,,2700
2084786,2139863,169,169
2084788,2080039,5465.52,66.51
2084793,2132905,47,14.1
2084808,Unknown,,64
2084811,2049052,300,202
2084814,2050790,302,28
2084829,2047606,20,20
2084833,NULL,,20
2084834,NULL,,9.8
2084843,2083137,162,20
2084852,2084394,54,14.4
2084853,2078057,512,512
2084858,2054642,NA,60
2084869,2077783,80,48.72
2084870,6048130,800,40
2084874,2084591,22.5,22.5
2084906,NULL,,4
2084907,NULL,,1
2084913,NULL,,1
2084914,NULL,,29
2084916,NULL,,16.5
2084957,NULL,,16
2084969,NULL,,160
2084975,NULL,,160
2084981,NULL,,4
2084982,NULL,,80
2085002,NULL,,4.9
2085010,2078995,17.06,17.06
2085018,2078942,15,15
2085023,2078773,36,36
2085026,2133031,73.4,73.4
2085029,2038673,452,452
2085034,2140069,182,182
2085038,2077533,NA,NA
2085040,2049560,160,160
2085049,2140286,2097,2097
2085056,2081071,288,100.8
2085057,2080039,5465.52,9.9
2085066,2048784,633,633
2085067,4188155,800,160
2085070,2080039,5465.52,65.77
2085072,2080039,5465.52,36.79
2085073,2080039,5465.52,24.06
2085075,2080039,5465.52,23.2
2085079,2056085,500,56
2085080,2080039,5465.52,4.25
2085081,2078180,204.5,204.5
2085082,2083960,80,14
2085084,2078774,160,160
2085085,2078554,103,103
2085086,2078049,21,21
2085087,NULL,,12.32
2085108,2075573,10.5,10.5
2085114,2079134,13,13
2085142,2080039,5465.52,32.55
2085143,2080039,5465.52,92.26
2085144,2080039,5465.52,36.79
2085147,2075601,60,15
2085151,NULL,,880
2085156,NULL,,155.6
2085157,NULL,,604
2085158,NULL,,306
2085159,NULL,,400
2085161,NULL,,80
2085165,NULL,,20
2085166,NULL,,80
2085172,NULL,,4
2085173,NULL,,64
2085174,NULL,,8
2085177,NULL,,62.4
2085178,NULL,,120
2085189,NULL,,580
2085190,NULL,,87.5
2085195,2069095,560,98
2085196,2077915,NA,NA
2085197,2077916,55,55
2085206,2080039,5465.52,28.3
2085217,2079937,420,420
2085218,2083511,120,120
2085237,2069095,560,40
2085248,2074733,280,280
2085259,2078536,180,152
2085281,2038672,640,640
2085283,NULL,,192
2085287,NULL,,68
2085288,NULL,,1800
2085293,NULL,,295
2085294,NULL,,5.56
2085297,NULL,,600
2085299,NULL,,352
2085301,NULL,,144
2085302,NULL,,400
2085307,NULL,,440
2085308,NULL,,364
2085313,NULL,,412
2085314,NULL,,732
2085315,NULL,,724
2085324,NULL,,20
2085326,NULL,,440
2085327,NULL,,831.6
2085331,NULL,,16
2085347,NULL,,161
2085357,NULL,,160
2085359,NULL,,40
2085368,NULL,,31
2085369,NULL,,111.6
2085375,NULL,,51
2085376,NULL,,185.3
2085377,NULL,,480
2085381,NULL,,202
2085390,NULL,,480
2085391,NULL,,1.28
2085398,NULL,,6.5
2085402,NULL,,67.6
2085406,2080493,NA,190.1
2085407,NULL,,101.25
2085414,NULL,,280
2085416,NULL,,280
2085417,NULL,,26
2085433,NULL,,40
2085435,NULL,,400
2085446,NULL,,2800
2085454,NULL,,59
2085456,NULL,,20000
2085457,NULL,,6000
2085464,NULL,,24
2085469,NULL,,560
2085474,NULL,,400
2085478,NULL,,1000
2085479,NULL,,2
2085480,NULL,,2
2085481,NULL,,10000
2085482,NULL,,4000
2085483,NULL,,6000
2085486,NULL,,1280
2085510,NULL,,46
2085511,NULL,,495.8
2085513,NULL,,480
2085515,NULL,,160.72
2085518,NULL,,240
2085520,NULL,,160
2085521,NULL,,600
2085523,NULL,,1052
2085524,NULL,,61.6
2085527,NULL,,900
2085529,NULL,,236
2085531,NULL,,52
2085532,NULL,,288.4
2085533,NULL,,44
2085534,NULL,,500
2085535,NULL,,368
2085539,NULL,,16
2085544,NULL,,80
2085546,NULL,,14.52
2085552,NULL,,2
2085553,NULL,,1656
2085554,NULL,,414
2085555,NULL,,260
2085558,NULL,,12
2085560,NULL,,100
2085577,NULL,,600
2085578,NULL,,24
2085581,NULL,,152
2085582,NULL,,1440
2085588,NULL,,48.8
2085589,NULL,,100
2085590,NULL,,84
2085592,NULL,,600
2085599,NULL,,160
2085603,NULL,,8
2085604,NULL,,28
2085605,NULL,,20
2085608,NULL,,50
2085609,NULL,,14
2085612,NULL,,4
2085616,NULL,,168
2085617,NULL,,8
2085619,NULL,,5.32
2085627,NULL,,7.2
2085628,NULL,,160
2085629,NULL,,16.3
2085630,NULL,,160
2085631,NULL,,320
2085636,NULL,,600
2085637,NULL,,160
2085638,NULL,,320
2085639,NULL,,3
2085640,NULL,,960
2085641,NULL,,168
2085643,NULL,,4
2085644,NULL,,255
2085656,NULL,,976
2085659,NULL,,1348
2085666,NULL,,360
2085667,NULL,,105
2085668,NULL,,360
2085669,NULL,,376
2085673,NULL,,52
2085674,NULL,,8
2085687,NULL,,1600
2085690,NULL,,140
2085694,NULL,,200
2085695,NULL,,24
2085697,NULL,,320
2085707,NULL,,80
2085708,NULL,,40
2085715,NULL,,20
2085723,NULL,,2
2085728,NULL,,16
2085737,NULL,,16
2085739,NULL,,8
2085741,NULL,,98
2085743,NULL,,700
2085745,NULL,,32
2085750,NULL,,552
2085757,NULL,,228
2085758,NULL,,280
2085760,NULL,,48
2085766,NULL,,400
2085771,NULL,,1600
2085773,NULL,,6
2085776,NULL,,760
2085781,NULL,,4
2085783,NULL,,80
2085785,NULL,,8
2085788,NULL,,40
2085791,NULL,,148
2085795,NULL,,160
2085802,NULL,,100
2085805,NULL,,280
2085811,NULL,,26
2085812,NULL,,26
2085813,NULL,,20
2085820,NULL,,40
2085824,NULL,,80
2085826,NULL,,180
2085828,NULL,,12
2085830,NULL,,6240
2085832,NULL,,1
2085833,NULL,,40
2085834,NULL,,20
2085835,NULL,,20
2085836,NULL,,20
2085837,NULL,,20
2085842,NULL,,16
2085844,NULL,,8
2085847,NULL,,48
2085848,NULL,,48
2085869,NULL,,960
2085872,NULL,,12
2085873,NULL,,20
2085877,NULL,,24
2085878,NULL,,288
2085879,NULL,,200
2085883,NULL,,28
2085885,NULL,,192
2085891,NULL,,640
2085894,NULL,,40
2085898,NULL,,60
2085899,NULL,,160
2085907,NULL,,40
2085908,NULL,,40
2085909,NULL,,160
2085910,NULL,,4
2085911,NULL,,4
2085912,NULL,,4
2085914,NULL,,72
2085918,NULL,,736
2085924,NULL,,25
2085925,NULL,,28
2085933,NULL,,80
2085934,NULL,,2
2085938,NULL,,42
2085941,NULL,,13.6
2085945,NULL,,4
2085955,NULL,,20
2085960,NULL,,400
2085962,NULL,,6
2085964,NULL,,12
2085965,NULL,,2
2085967,NULL,,20
2085972,NULL,,520
2085978,NULL,,10
2085990,NULL,,320
2085992,NULL,,160
2086011,NULL,,2
2086012,NULL,,3
2086018,NULL,,26
2086019,NULL,,60
2086020,NULL,,24
2086023,NULL,,36
2086025,NULL,,40
2086032,NULL,,39.4
2086034,NULL,,180
2086038,NULL,,80
2086039,NULL,,20
2086040,NULL,,1080
2086043,NULL,,12
2086044,NULL,,90
2086051,NULL,,40
2086057,NULL,,28
2086063,NULL,,32
2086064,NULL,,176
2086071,NULL,,1016
2086080,NULL,,52
2086085,NULL,,20
2086086,NULL,,32
2086091,NULL,,68
2086092,NULL,,788
2086093,NULL,,14
2086096,NULL,,40
2086097,NULL,,35.12
2086098,NULL,,48
2086099,NULL,,220
2086105,NULL,,96
2086108,NULL,,148
2086109,NULL,,152
2086110,NULL,,5
2086111,NULL,,3
2086112,NULL,,4
2086116,NULL,,144
2086117,NULL,,80
2086118,NULL,,32
2086119,NULL,,16
2086128,NULL,,4
2086136,NULL,,84
2086137,NULL,,16.68
2086141,NULL,,200
2086143,NULL,,200
2086145,NULL,,12
2086158,NULL,,600
2086161,NULL,,320
2086164,NULL,,80
2086165,NULL,,14.04
2086166,NULL,,400
2086170,NULL,,100
2086173,NULL,,1448
2086174,NULL,,432
2086177,NULL,,160
2086179,NULL,,18.8
2086184,NULL,,12
2086196,NULL,,32
2086197,NULL,,4000
2086198,NULL,,160
2086200,NULL,,400
2086209,NULL,,480
2086215,NULL,,104
2086217,NULL,,20
2086218,NULL,,540
2086221,NULL,,132
2086229,NULL,,12
2086230,NULL,,18
2086233,NULL,,40
2086234,NULL,,172
2086236,NULL,,1648
2086240,NULL,,120
2086245,NULL,,300
2086247,NULL,,72
2086250,NULL,,4
2086253,NULL,,26
2086254,NULL,,3
2086255,NULL,,760
2086259,NULL,,4
2086260,NULL,,12
2086263,NULL,,248
2086265,NULL,,12000
2086268,NULL,,320
2086273,NULL,,108
2086274,NULL,,14
2086275,NULL,,20
2086280,NULL,,126
2086283,NULL,,108
2086284,NULL,,200
2086285,NULL,,132
2086286,NULL,,320
2086287,NULL,,154.4
2086290,NULL,,20
2086293,NULL,,820
2086295,NULL,,36
2086296,NULL,,580
2086297,NULL,,240
2086298,NULL,,280
2086299,NULL,,760
2086301,NULL,,80
2086302,NULL,,1940
2086303,NULL,,61.6
2086309,NULL,,40
2086315,NULL,,18
2086316,NULL,,240
2086320,NULL,,2
2086321,NULL,,120
2086326,NULL,,4
2086327,NULL,,4
2086329,NULL,,880
2086330,NULL,,1200
2086331,NULL,,296
2086333,NULL,,800
2086334,NULL,,381
2086336,NULL,,4752
2086337,NULL,,60
2086338,NULL,,320
2086339,NULL,,800
2086340,NULL,,55.6
2086342,NULL,,360
2086347,NULL,,80
2086348,NULL,,53.4
2086349,NULL,,240
2086351,NULL,,280
2086352,NULL,,3200
2086353,NULL,,560
2086356,NULL,,20
2086359,NULL,,16
2086365,NULL,,574.8
2086366,NULL,,8
2086369,NULL,,80
2086370,NULL,,720
2086372,NULL,,40
2086374,NULL,,20
2086375,NULL,,77.4
2086376,NULL,,16.04
2086377,NULL,,208
2086379,NULL,,292
2086380,NULL,,212
2086381,NULL,,40
2086383,NULL,,4
2086386,NULL,,18
2086389,NULL,,4
2086394,NULL,,40
2086400,NULL,,16.64
2086401,NULL,,6
2086405,NULL,,320
2086408,NULL,,16.4
2086409,NULL,,4
2086415,NULL,,140
2086417,NULL,,528
2086418,NULL,,520
2086424,NULL,,160
2086425,NULL,,3520
2086429,NULL,,148
2086431,NULL,,148
2086432,NULL,,10
2086433,NULL,,1120
2086435,NULL,,240
2086436,NULL,,228.6
2086441,NULL,,320
2086443,NULL,,168
2086448,NULL,,440
2086450,NULL,,220
2086451,NULL,,80
2086454,NULL,,40
2086458,NULL,,168
2086468,NULL,,19.4
2086469,NULL,,88
2086470,NULL,,160
2086471,NULL,,160
2086477,NULL,,40
2086480,NULL,,24
2086481,NULL,,400
2086483,NULL,,80
2086484,NULL,,320
2086491,NULL,,160
2086493,NULL,,16
2086497,NULL,,320
2086498,NULL,,41.44
2086500,NULL,,12
2086501,NULL,,12
2086502,NULL,,4
2086503,NULL,,890.4
2086504,NULL,,560
2086505,NULL,,20
2086511,NULL,,492
2086513,NULL,,100
2086515,NULL,,144
2086516,NULL,,2
2086518,NULL,,1400
2086519,NULL,,120
2086525,NULL,,160
2086527,NULL,,14
2086528,NULL,,64
2086530,NULL,,19.08
2086534,NULL,,2
2086539,NULL,,240
2086541,NULL,,152.8
2086542,NULL,,300
2086544,NULL,,24.84
2086548,NULL,,764
2086551,NULL,,1.32
2086552,NULL,,144
2086555,NULL,,22
2086558,NULL,,3200
2086560,NULL,,398.4
2086561,NULL,,160
