WaRecId,WaRecChangeIntentTypeCode
2033017,AddSource
2033021,ChangeSource
2033021,AddSource
2033021,ChangePartOfWR
2033032,AddSource
2033032,ChangePartOfWR
2087587,ChangePurpose
2087587,AddSource
2087587,ChangeOther
4330727,AddSource
4330727,ChangeSource
4702149,ChangePartOfWR
4702149,ChangeSource
4702227,AddSource
4702227,ChangePartOfWR
4702331,ChangeSource
4702331,ChangePartOfWR
5921321,ChangeEntireWR
5921321,WRAOther
5921321,ChangePlaceOfUse
5921321,ChangePurpose
4502553,AddSource
4502553,ChangePlaceOfUse
2084911,AddSource
2087326,AddPurpose
2087326,ChangeSource
2087326,ChangePlaceOfUse
6799094,ChangeEntireWR
6799094,ChangePlaceOfUse
6799094,AddIrrigatedArea
2075167,ChangeSource
2032455,ChangePlaceOfUse
2032455,ChangeSource
2033004,ChangeSource
2032726,AddSource
2032726,ChangePlaceOfUse
2075385,ChangeSource
2032513,ChangePlaceOfUse
2032996,ChangePlaceOfUse
5921446,ChangePlaceOfUse
5921446,ChangeEntireWR
5921446,ChangeSource
4231157,AddSource
2086736,ChangeSource
2086737,ChangeSource
2084774,ChangePurpose
2084774,AddSource
2084774,ChangeEntireWR
2084774,ChangePlaceOfUse
4242516,ChangePlaceOfUse
2075509,ChangeEntireWR
2075509,ChangeSource
2075510,ChangePlaceOfUse
2075510,ChangeSource
2075510,ChangeEntireWR
2085108,ChangeSource
2085108,ChangeEntireWR
4288333,ChangePurpose
4288333,ChangeSource
4288333,WRAOther
2085147,ChangeSource
2085147,ChangePlaceOfUse
2032453,ChangeSource
2032453,ChangePlaceOfUse
2032454,ChangePlaceOfUse
2032454,ChangeSource
2087694,ChangePlaceOfUse
2087694,ChangeSource
2087540,ChangeOther
2087540,AddSource
2084848,ChangeSource
2084848,AddSource
2084847,ChangeSource
2084847,AddSource
4231134,AddSource
5921436,ChangePlaceOfUse
5921436,ChangeSource
2084654,ChangeSource
2075476,ChangeSource
2085222,ChangeSource
2085274,ChangeSource
2085274,ChangePlaceOfUse
4733102,ChangeEntireWR
4733102,ChangePlaceOfUse
4201192,ChangeSource
4201192,ChangePurpose
4470443,ChangeSource
4470443,AddSource
4470443,ChangePlaceOfUse
4692570,ChangePlaceOfUse
4692570,AddSource
4692570,ChangeSource
4692570,ChangeOther
4692499,ChangeOther
4692499,ChangeSource
4692499,ChangePlaceOfUse
4692499,AddSource
2087154,AddSource
2087154,ChangeEntireWR
2086739,ChangeSource
2086739,ChangePlaceOfUse
2087200,ChangeSource
2032725,ChangeSource
4622983,ChangePlaceOfUse
4736254,AddSource
4736254,ChangePurpose
4736254,ChangePlaceOfUse
2086886,ChangeSource
2086887,ChangeSource
2087153,ChangeEntireWR
2087153,AddSource
4581113,ChangePurpose
4581113,ChangePlaceOfUse
4581113,AddSource
2086942,AddSource
2086942,ChangePlaceOfUse
2086941,AddSource
2086941,ChangePlaceOfUse
2086941,ChangeEntireWR
2087198,ChangeEntireWR
2087198,ChangePurpose
2087307,AddSource
4235067,AddSource
2087222,ChangeSource
6359863,ChangeSource
6359863,ChangePlaceOfUse
6359863,AddSource
6359863,ChangePartOfWR
4223713,ChangePartOfWR
4223713,ChangeSource
4223713,AddSource
5525158,ChangePartOfWR
5525158,ChangePlaceOfUse
5525158,ChangePurpose
5525158,ChangeSource
4235056,Consolidate
4235056,AddSource
4211056,ChangePlaceOfUse
4924420,ChangeSource
5118940,ChangePlaceOfUse
5118940,AddSource
2087202,ChangeSource
4427436,AddSource
4427436,ChangePurpose
4427436,ChangePlaceOfUse
2087207,ChangeSource
4468927,ChangeSource
4468927,ChangeOther
4288218,ChangePlaceOfUse
4288218,ChangePurpose
4288218,WRAOther
4288218,ChangeSource
2085199,ChangeSource
2085199,ChangePlaceOfUse
4153256,ChangeSource
4153256,AddPurpose
2085251,ChangePlaceOfUse
2086729,ChangePlaceOfUse
4180981,ChangePlaceOfUse
4528570,ChangePlaceOfUse
4549123,ChangeSource
4549123,ChangePlaceOfUse
2085146,ChangePlaceOfUse
2075370,ChangeSource
2075370,AddSource
2087148,ChangePurpose
2087148,ChangeOther
2085038,ChangeSource
2085038,ChangePlaceOfUse
2085262,ChangePlaceOfUse
4148796,ChangePlaceOfUse
4156833,ChangeSource
2084509,ChangePlaceOfUse
2084509,ChangeSource
2084510,ChangePlaceOfUse
2084510,ChangeSource
2084511,ChangePlaceOfUse
2084511,ChangeSource
2084750,ChangePlaceOfUse
2084750,ChangeSource
2084750,ChangeEntireWR
2084512,ChangePlaceOfUse
2084512,ChangeSource
4265753,ChangeEntireWR
4265753,WRAOther
4265753,ChangePurpose
4167385,ChangeSource
4167385,ChangePlaceOfUse
2032595,ChangePlaceOfUse
4167469,ChangeSource
4167485,ChangeSource
4167485,AddSource
4167485,ChangePlaceOfUse
4169223,ChangePlaceOfUse
4169233,ChangePlaceOfUse
4169243,ChangePlaceOfUse
4169243,AddSource
2032594,ChangePlaceOfUse
2032594,ChangeSource
2087662,ChangeSource
4158212,ChangePlaceOfUse
4158212,ChangeSource
4169547,ChangePlaceOfUse
2084647,ChangeEntireWR
2084647,ChangeSource
2087348,ChangeSource
4313235,ChangePlaceOfUse
4313235,AddSource
4313235,ChangePurpose
2085012,AddSource
2085196,ChangeSource
4182752,ChangePlaceOfUse
4182768,ChangePlaceOfUse
2084655,ChangeSource
2075166,ChangeSource
2085086,ChangeSource
2085086,ChangePlaceOfUse
2084853,ChangeEntireWR
2084853,ChangeSource
2084809,ChangeSource
2084809,AddSource
2085050,AddSource
2085050,ChangePlaceOfUse
2085050,ChangeSource
4181448,ChangePlaceOfUse
4303360,AddSource
4303360,ChangePlaceOfUse
4175009,ChangePlaceOfUse
2085051,ChangeSource
2085051,AddSource
2085051,ChangePlaceOfUse
4181547,ChangePlaceOfUse
4181020,ChangePlaceOfUse
2085044,ChangeSource
2084508,ChangeSource
2084540,ChangePlaceOfUse
2084540,ChangeSource
4194822,ChangePlaceOfUse
4468968,ChangeSource
4468968,ChangeOther
6721982,ChangeSource
6721982,ChangeEntireWR
5480690,ChangePurpose
5480690,ChangePlaceOfUse
5480690,AddSource
2086765,AddSource
2086765,ChangePurpose
2086765,ChangePlaceOfUse
2086765,ChangeSource
2032669,ChangeSource
2032670,ChangeSource
2032670,ChangeEntireWR
6126831,AddSource
6126831,ChangePlaceOfUse
2032539,ChangePartOfWR
2032539,ChangeSource
2032539,AddSource
2085259,ChangePartOfWR
2085259,ChangeSource
2085259,AddSource
2087194,AddPurpose
2087194,ChangePlaceOfUse
2085085,AddSource
4565533,ChangePlaceOfUse
4565533,AddSource
4565533,ChangePurpose
6801541,ChangePlaceOfUse
6801541,ChangePartOfWR
6801541,ChangePurpose
6801541,ChangeSource
6801541,AddSource
4565755,AddSource
4565755,ChangePurpose
4565755,ChangePlaceOfUse
2087703,ChangeSource
2087737,ChangeSource
2086943,AddSource
2086943,ChangePlaceOfUse
4201180,ChangeEntireWR
4201180,ChangeSource
6007793,ChangePurpose
6007793,ChangePlaceOfUse
6007793,WRAOther
4158740,ChangePlaceOfUse
4158740,ChangeSource
4158740,ChangePurpose
6798964,AddSource
6798964,ChangeEntireWR
4404123,ChangeOther
4404123,ChangePurpose
4404123,AddSource
4404123,ChangePlaceOfUse
2032997,AddSource
2032997,ChangeSource
2086741,AddSource
2085250,ChangePlaceOfUse
4158911,AddPurpose
4234697,AddSource
2086868,ChangeSource
2085247,ChangeSource
2085246,ChangeSource
2086955,ChangeSource
4314005,ChangePurpose
4314005,ChangePlaceOfUse
4314005,AddSource
2085023,ChangeSource
2085023,ChangePlaceOfUse
2085084,AddSource
2085084,ChangeSource
2085084,ChangePlaceOfUse
2084791,AddSource
2084791,ChangeEntireWR
2084791,ChangeSource
2087185,AddSource
2087185,ChangePurpose
4314143,ChangePurpose
4314143,AddSource
4314143,ChangePlaceOfUse
2075331,ChangeSource
2075331,AddSource
6802241,ChangePartOfWR
6802241,ChangePlaceOfUse
6802241,ChangeSource
6802241,ChangePurpose
6802241,AddPurpose
6802241,AddSource
2032497,ChangeSource
4240703,ChangePlaceOfUse
4240703,ChangeSource
4240703,AddSource
4240703,ChangeEntireWR
4187994,ChangePlaceOfUse
4187994,ChangeSource
4187994,AddSource
4187994,ChangeEntireWR
4656505,AddSource
4656505,ChangePurpose
2085230,ChangeSource
2086902,ChangePurpose
2084746,ChangeSource
2084746,ChangePurpose
2084746,ChangePlaceOfUse
4696151,AddSource
2085010,ChangeSource
2085010,ChangeEntireWR
4564115,ChangePlaceOfUse
4564115,AddSource
4564115,ChangePurpose
6045033,WRAOther
6045033,ChangePlaceOfUse
6045033,ChangePurpose
4158686,AddSource
4158686,ChangePlaceOfUse
4158686,AddPurpose
4288099,ChangePlaceOfUse
2084651,AddSource
2084651,ChangePlaceOfUse
2084651,ChangeSource
4259696,ChangePlaceOfUse
4259696,AddSource
4259696,ChangeEntireWR
4259696,ChangePurpose
4644513,ChangeSource
2032376,ChangeSource
2087702,ChangeSource
4597711,ChangeSource
2032375,ChangeSource
2087491,ChangeSource
2087735,ChangeSource
2087736,ChangeSource
4735419,ChangePlaceOfUse
4735419,ChangePurpose
4735419,WRAOther
2084813,ChangePlaceOfUse
2084813,ChangeSource
2084813,AddSource
2085114,ChangePlaceOfUse
2087275,ChangeSource
6127021,ChangePlaceOfUse
6127021,AddSource
2032391,ChangeSource
2032391,ChangeEntireWR
4700991,ChangePurpose
4700991,ChangePlaceOfUse
4700991,WRAOther
2087237,ChangeSource
2087094,AddSource
4700946,ChangePurpose
4700946,ChangePlaceOfUse
4700946,WRAOther
2032998,ChangeSource
2032998,AddSource
2032320,ChangeSource
4736233,AddSource
2087503,ChangeSource
2087503,ChangePlaceOfUse
4148765,ChangeSource
4148765,ChangeEntireWR
4148751,ChangeEntireWR
4148751,ChangeSource
4163905,ChangeSource
4649235,ChangePlaceOfUse
4649235,ChangePurpose
4649235,ChangeSource
4649235,ChangeOther
2084792,ChangeSource
2084792,ChangeEntireWR
2084792,ChangeSource
2085139,ChangeSource
2075134,ChangeSource
4162199,ChangeSource
4145230,ChangeSource
2075338,ChangeSource
2084802,ChangeSource
2084804,AddSource
2084804,ChangeSource
2075340,ChangeSource
2086858,ChangeSource
4185179,ChangePurpose
4185179,ChangePlaceOfUse
4215034,ChangeSource
4215034,AddSource
4175590,ChangePurpose
4175590,ChangePlaceOfUse
4164703,ChangePlaceOfUse
4164703,AddSource
4164703,ChangeOther
4164703,ChangePartOfWR
4145778,ChangeSource
4145778,ChangeEntireWR
4207821,AddSource
4207821,ChangePlaceOfUse
4207821,ChangePurpose
4207821,ChangeSource
4664939,ChangePurpose
4664939,ChangePlaceOfUse
4664939,AddSource
4696500,ChangePlaceOfUse
4696500,ChangePurpose
4152153,AddSource
4152153,ChangePlaceOfUse
4152153,ChangeSource
5566151,ChangeSource
5566151,WRAOther
2087013,ChangeSource
2087014,ChangeSource
5566239,WRAOther
5566239,ChangeSource
5566239,AddPurpose
5566239,ChangeEntireWR
5600425,WRAOther
5600425,AddPurpose
5600451,WRAOther
5600451,AddPurpose
4313150,ChangePurpose
4313150,AddSource
