Child,Parent,Parent_Qa,relinqQa
2222647,2162067,2,0
6801646,2182712,160,0
4166299,2207497,200,0
2147321,2210664,0.4,0
2223065,2210981,9,0
2147264,2212281,50,0
4142776,2214275,1000,0
2223109,2214334,250.27,0
2147397,2215774,80,0
2223234,2216203,52,0
6801492,2216364,260,0
2206109,2216419,31.5,0
6801493,2216789,80,0
4500398,2216975,880,0
2223076,2217543,9,0
4230300,2217947,21,0
2147326,2218076,104,0
4170178,2218429,42,0
2153808,2219011,26.67,0
4171497,2219463,8,0
2223144,2220186,550,0
4192245,2220494,110,0
2221017,2221016,3,0
2206341,2221204,12,0
2222960,2221298,14.5,0
2223062,2221339,58,0
2221384,2221383,56,0
4594167,2221787,8,0
2222657,2222492,15,0
2222828,2222827,60,0
4471885,2231784,1440,0
4484880,2231784,1440,0
4294251,2231784,1440,0
4484908,2231784,1440,0
4485656,2231784,1440,0
4496536,2231784,1440,0
4521818,2231784,1440,0
4526552,2231784,1440,0
4530518,2231784,1440,0
4657992,2231784,1440,0
4730403,2231784,1440,0
2272197,2274278,551,0
2271875,2276847,0.59,0
2272091,2278465,23.8,0
4479148,2278765,70,0
2285760,2279363,119,0
2271930,2279364,645,0
4311581,2280315,46,0
2272196,2280363,1600,0
2272166,2280773,72,0
2272154,2281209,1600,0
2272148,2281278,56,0
2285543,2282198,52,0
2271851,2282214,15,0
6799499,2282232,55.5,0
6799966,2282463,560,0
4502314,2283118,632,0
2283173,2283172,95,0
4249873,2283262,810.7,0
4250224,2283265,780.7,0
4268765,2283501,320,0
6802614,2283506,1458.1,0
4701466,2284150,160,0
2285725,2285410,2520,0
2285889,2285725,2520,0
2285878,4151406,565,0
6802381,4158259,672,0
2087155,4162180,664.7,0
2285667,4188959,150,0
5357561,4189164,33.3,0
2087690,4189987,920,0
4518699,4238736,268,0
4695659,4259224,15591,0
4288933,4275402,648,0
4924220,4418916,1050,0
4536098,4520400,650,0
4548375,4541437,1491,0
4690872,4690860,302,0
2084841,2084841,446.7,0
6622005,5039162,296.1,0
5242861,5042774,224.2,0
5242878,5042807,318.75,0
5242893,5043199,106.25,0
6365114,5844945,546,0
6164943,6166913,100.32,0
6276194,6271529,305,0
6799857,6799856,45,0
6799937,6799907,1097.5,0
6802299,6802211,64,0
6563039,2120468,300,0
4258907,2137738,2400,0
2146089,2140829,628,0
4166396,4166396,350,0
